date,n_kap_day,n_material,kap_score,kap_polarity,has_earnings,has_dividend,has_buyback,has_rating,has_oda
2019-08-21,14,14,-2.0,bearish,0,0,0,0,1
2019-08-22,9,9,-3.0,bearish,0,0,0,0,1
2019-08-23,17,17,-9.0,bearish,0,0,0,0,0
2019-08-26,14,13,-4.0,bearish,0,0,0,0,1
2019-08-27,15,15,-5.0,bearish,0,0,0,0,0
2019-08-28,15,15,-6.0,bearish,0,0,0,0,1
2019-08-29,16,15,0.0,neutral,0,0,0,0,1
2019-09-02,10,9,-0.7,neutral,0,0,0,0,1
2019-09-03,11,11,2.3,bullish,0,0,0,0,1
2019-09-04,20,18,-8.0,bearish,0,0,0,0,0
2019-09-05,10,10,-6.0,bearish,0,0,0,0,1
2019-09-06,18,15,-11.0,bearish,0,0,0,0,1
2019-09-09,11,11,-2.0,bearish,0,0,0,0,0
2019-09-10,22,21,-2.5,bearish,0,0,1,0,1
2019-09-11,20,17,-1.5,bearish,0,1,0,0,1
2019-09-12,14,13,7.7,bullish,0,1,1,0,0
2019-09-13,17,16,4.2,bullish,0,0,1,0,1
2019-09-16,12,12,-3.8,bearish,0,0,1,0,1
2019-09-17,22,21,1.2,bullish,0,0,1,0,1
2019-09-18,29,27,2.2,bullish,0,0,1,0,1
2019-09-19,13,13,0.19999999999999996,neutral,0,0,1,0,1
2019-09-20,15,12,4.2,bullish,0,0,1,0,1
2019-09-23,15,14,0.19999999999999996,neutral,0,0,1,1,1
2019-09-24,22,21,13.2,bullish,0,0,1,1,1
2019-09-25,13,11,1.2,bullish,0,0,1,0,1
2019-09-26,10,7,3.2,bullish,0,0,1,0,1
2019-09-27,17,17,-0.8,neutral,0,0,1,1,1
2019-09-30,17,16,2.2,bullish,0,0,1,0,1
2019-10-01,15,15,-1.0,bearish,0,0,0,0,1
2019-10-02,9,9,3.2,bullish,0,0,1,0,0
2019-10-03,16,16,0.19999999999999996,neutral,0,0,1,0,1
2019-10-04,11,9,0.19999999999999996,neutral,0,0,1,0,0
2019-10-07,11,10,2.2,bullish,0,0,1,0,1
2019-10-08,25,24,3.2,bullish,0,0,1,0,1
2019-10-09,19,17,7.2,bullish,0,0,1,0,1
2019-10-10,8,8,0.19999999999999996,neutral,0,0,1,0,1
2019-10-11,18,13,0.0,neutral,0,0,0,0,1
2019-10-14,21,19,5.5,bullish,0,1,0,0,1
2019-10-15,24,23,-4.0,bearish,0,0,0,1,1
2019-10-16,15,14,-3.0,bearish,0,0,0,0,0
2019-10-17,15,15,3.0,bullish,0,0,0,0,0
